,thumb1,index1,middle1,pinky1,accelX1,accelY1,accelZ1,gForceX1,gForceY1,gForceZ1,gyroX1,gyroY1,gyroZ1,gesture
189,2469,2240,2375,2491,10.1,0.84,1.48,1.48,0.84,10.1,-0.03,-0.04,-0.01,Nice!
190,2458,2256,2401,2526,9.96,0.13,1.59,1.59,0.13,9.96,-1.49,0.16,-0.14,Nice!
191,2461,2253,2384,2500,10.05,0.73,1.75,1.75,0.73,10.05,-1.13,-0.06,-0.17,Nice!
192,2439,2240,2365,2491,9.95,-0.07,2.69,2.69,-0.07,9.95,-0.49,0.05,-0.13,Nice!
193,2463,2260,2388,2520,9.88,-0.08,2.75,2.75,-0.08,9.88,-0.13,-0.01,-0.05,Nice!
194,2448,2252,2370,2501,9.89,0,2.85,2.85,0,9.89,-0.08,-0.04,-0.01,Nice!
195,2443,2251,2381,2487,9.92,0.06,2.92,2.92,0.06,9.92,-0.02,-0.04,-0.03,Nice!
196,2401,2231,2383,2511,9.86,0.04,2.89,2.89,0.04,9.86,-0.04,-0.05,-0.01,Nice!
197,2444,2258,2395,2509,9.93,0.03,2.9,2.9,0.03,9.93,-0.01,-0.04,-0.03,Nice!
198,2431,2224,2395,2491,9.84,0.06,2.86,2.86,0.06,9.84,-0.04,-0.05,-0.02,Nice!
199,2467,2223,2383,2491,9.96,-0.46,2.84,2.84,-0.46,9.96,-0.14,-0.05,0.08,Nice!
200,2448,2278,2390,2415,9.89,-0.46,2.84,2.84,-0.46,9.89,0.04,-0.03,-0.04,Nice!
201,2438,2245,2388,2480,9.85,-0.27,2.88,2.88,-0.27,9.85,0.04,-0.01,-0.05,Nice!
202,2418,2271,2372,2495,9.84,-0.2,2.85,2.85,-0.2,9.84,0.01,-0.05,-0.04,Nice!
203,2462,2240,2407,2491,9.91,-0.02,2.41,2.41,-0.02,9.91,0.25,-0.21,0.07,Nice!
204,2444,2245,2403,2496,10.06,-0.45,2.01,2.01,-0.45,10.06,1.01,-0.05,-0.1,Nice!
205,2465,2230,2430,2517,10.07,0.15,1.46,1.46,0.15,10.07,0.15,-0.05,-0.02,Nice!
206,2464,2230,2378,2508,10.12,0.23,1.41,1.41,0.23,10.12,0.26,-0.01,-0.02,Nice!
207,2447,2247,2373,2483,10.1,0.43,1.48,1.48,0.43,10.1,0.31,-0.04,0,Nice!
208,2450,2253,2402,2514,10.13,0.5,1.35,1.35,0.5,10.13,0.38,-0.02,-0.04,Nice!
209,2460,2253,2367,2502,10.1,0.72,1.33,1.33,0.72,10.1,0.45,-0.01,-0.01,Nice!
210,2448,2244,2412,2482,10.14,0.54,1.42,1.42,0.54,10.14,0.47,0.02,0,Nice!
211,2449,2241,2417,2512,10.08,0.82,1.17,1.17,0.82,10.08,0.46,0,0.01,Nice!
212,2447,2237,2411,2506,10.05,0.89,1.22,1.22,0.89,10.05,0.42,-0.07,0.05,Nice!
213,2432,2237,2399,2497,10.14,0.82,0.65,0.65,0.82,10.14,0.42,-0.05,0.03,Nice!
214,2447,2256,2388,2534,10.19,0.26,0.31,0.31,0.26,10.19,0.45,-0.04,0.08,Nice!
215,2440,2269,2379,2471,10.14,0.06,0.27,0.27,0.06,10.14,0.28,-0.02,0.02,Nice!
216,2442,2223,2384,2494,10.21,-0.12,0.66,0.66,-0.12,10.21,-0.05,0.08,-0.06,Nice!
217,2448,2234,2374,2466,10.24,0,0.79,0.79,0,10.24,-0.04,-0.09,0,Nice!
218,2430,2255,2384,2507,10.23,0.02,0.68,0.68,0.02,10.23,-0.07,-0.05,-0.02,Nice!
219,2448,2259,2397,2465,10.21,0.1,0.72,0.72,0.1,10.21,-0.08,-0.05,-0.01,Nice!
220,2448,0,2397,2461,10.15,-0.02,0.63,0.63,-0.02,10.15,-0.11,-0.06,-0.01,Nice!
221,2426,0,0,2486,10.18,-0.06,0.62,0.62,-0.06,10.18,-0.04,-0.06,-0.01,Nice!
222,2448,1143,2320,2481,10.21,0.05,0.59,0.59,0.05,10.21,-0.04,-0.03,-0.03,Nice!
223,2480,2242,2387,2447,10.18,-0.13,0.7,0.7,-0.13,10.18,-0.08,-0.05,-0.02,Nice!
224,2430,2228,2395,2482,10.18,0.04,0.64,0.64,0.04,10.18,-0.1,-0.08,-0.01,Nice!
225,2497,2254,2373,2465,10.13,0.02,0.62,0.62,0.02,10.13,-0.02,-0.04,-0.03,Nice!
226,2451,2237,2375,2494,10.22,0.12,0.68,0.68,0.12,10.22,-0.02,-0.05,-0.03,Nice!
227,2447,2263,2384,2509,10.11,0.02,0.53,0.53,0.02,10.11,-0.32,-0.04,-0.01,Nice!
228,2438,2222,2389,2480,10.07,-0.03,0.63,0.63,-0.03,10.07,0.02,-0.05,-0.01,Nice!
229,2448,2235,2448,2518,10.22,0.14,0.41,0.41,0.14,10.22,-0.05,-0.03,-0.01,Nice!
230,2493,2242,2379,2492,10.21,0.11,0.53,0.53,0.11,10.21,-0.03,-0.05,-0.03,Nice!
231,2470,2251,2397,2495,10.14,0,0.39,0.39,0,10.14,-0.04,-0.03,-0.02,Nice!
232,2430,2244,2401,2480,10.2,0.12,0.48,0.48,0.12,10.2,-0.04,-0.04,-0.02,Nice!
233,2430,2238,2379,2489,10.1,0.11,0.62,0.62,0.11,10.1,-0.13,-0.09,-0.03,Nice!
234,2438,2241,2384,2494,10.13,-0.69,0.38,0.38,-0.69,10.13,-1.22,-0.14,-0.2,Nice!
235,2480,2272,2385,2489,10.06,1.06,0.22,0.22,1.06,10.06,-0.01,-0.12,-0.07,Nice!
236,2433,2256,2383,2495,10.1,0.9,-0.09,-0.09,0.9,10.1,-0.09,-0.06,-0.02,Nice!
237,2401,2246,2385,2509,10.21,0.91,0.05,0.05,0.91,10.21,-0.04,-0.03,0,Nice!
238,2438,2242,2379,2497,10.13,0.86,0.09,0.09,0.86,10.13,-0.03,-0.03,-0.01,Nice!
239,2445,2264,2417,2495,10.1,0.77,0.08,0.08,0.77,10.1,-0.1,-0.04,-0.02,Nice!
240,2473,2246,2403,2501,10.06,1.15,0.44,0.44,1.15,10.06,-0.23,-0.05,-0.07,Nice!
241,2458,2237,2381,2502,10.16,0.85,1.03,1.03,0.85,10.16,-0.82,0.09,-0.14,Nice!
242,2411,2239,2385,2511,9.88,1.32,1.99,1.99,1.32,9.88,-0.56,-0.02,0.06,Nice!
243,2448,2254,2386,2496,10.2,-1.87,0.26,0.26,-1.87,10.2,-0.03,-0.29,0.19,Nice!
244,2453,2246,2391,2491,10.01,-0.18,-0.94,-0.94,-0.18,10.01,-0.06,-0.32,-0.06,Nice!
245,2455,2238,2391,2483,10.05,-0.3,-0.51,-0.51,-0.3,10.05,0.01,0,0,Nice!
246,2437,2224,2387,2508,10.11,-0.29,-0.38,-0.38,-0.29,10.11,-0.04,-0.08,-0.02,Nice!
