,thumb1,index1,middle1,pinky1,accelX1,accelY1,accelZ1,gForceX1,gForceY1,gForceZ1,gyroX1,gyroY1,gyroZ1,gesture
299,2480,2226,2399,2491,10.25,0.56,0.55,0.55,0.56,10.25,-0.05,-0.03,-0.04,Fuck You!
300,2477,2258,2367,2509,10.15,0.36,0.71,0.71,0.36,10.15,-0.09,-0.04,-0.03,Fuck You!
301,2486,2239,2386,2462,10.16,0.46,0.66,0.66,0.46,10.16,-0.04,-0.06,-0.01,Fuck You!
302,2458,2224,2396,2471,10.14,0.56,0.6,0.6,0.56,10.14,-0.03,-0.03,-0.02,Fuck You!
303,2477,2256,2399,2451,10.17,0.49,0.62,0.62,0.49,10.17,-0.05,-0.06,-0.01,Fuck You!
304,2522,2234,2383,2485,10.1,0.48,0.76,0.76,0.48,10.1,-0.03,-0.02,-0.02,Fuck You!
305,2487,2240,2394,2463,10.09,0.58,0.81,0.81,0.58,10.09,-0.04,-0.04,-0.01,Fuck You!
306,2496,2238,2367,2525,10.1,0.5,0.71,0.71,0.5,10.1,-0.03,-0.03,-0.03,Fuck You!
307,2509,2226,2405,2526,10.13,0.66,0.75,0.75,0.66,10.13,-0.04,-0.05,-0.03,Fuck You!
308,2475,2230,2384,2463,10.11,0.6,0.68,0.68,0.6,10.11,-0.08,-0.05,-0.01,Fuck You!
309,2467,2230,2394,2509,10.19,0.53,0.58,0.58,0.53,10.19,-0.03,-0.05,-0.02,Fuck You!
310,2459,2273,2405,2462,10.18,0.49,0.9,0.9,0.49,10.18,0.2,-0.03,-0.03,Fuck You!
311,2495,2256,2398,2511,10.14,0.87,0.38,0.38,0.87,10.14,-0.04,-0.05,0.08,Fuck You!
312,2497,2237,2385,2449,10.24,0.51,0.46,0.46,0.51,10.24,-0.13,-0.02,-0.07,Fuck You!
313,2467,2244,2384,2461,10.13,1.28,0.13,0.13,1.28,10.13,-0.06,-0.04,-0.08,Fuck You!
314,2480,2238,2388,2467,10.18,0.59,0.6,0.6,0.59,10.18,-0.05,-0.02,0.06,Fuck You!
315,2474,2239,2430,2494,10.09,0.24,0.31,0.31,0.24,10.09,-0.06,-0.05,0.01,Fuck You!
316,2458,2241,2356,2406,10.15,0.36,0.44,0.44,0.36,10.15,-0.05,-0.05,0,Fuck You!
317,2465,2229,2391,2476,10.14,0.31,0.16,0.16,0.31,10.14,-0.04,-0.03,0,Fuck You!
318,2471,2225,2403,2432,10.22,0.18,0.35,0.35,0.18,10.22,-0.04,-0.05,-0.02,Fuck You!
319,2489,2240,2371,2433,10.16,-0.16,0.53,0.53,-0.16,10.16,-0.04,-0.05,-0.01,Fuck You!
320,2470,2235,2380,2482,10.18,-0.02,0.38,0.38,-0.02,10.18,-0.05,-0.04,-0.01,Fuck You!
321,2496,2259,2409,2463,10.13,0,0.39,0.39,0,10.13,-0.05,-0.06,-0.02,Fuck You!
322,2481,2228,2395,2482,10.15,-0.01,0.52,0.52,-0.01,10.15,-0.05,-0.04,-0.01,Fuck You!
323,2477,2251,2374,2470,10.18,0.01,0.52,0.52,0.01,10.18,-0.04,-0.05,-0.02,Fuck You!
324,2496,2210,2411,2462,10.16,0.07,0.46,0.46,0.07,10.16,-0.03,-0.04,-0.03,Fuck You!
325,2448,2258,2403,2495,10.13,0.26,0.46,0.46,0.26,10.13,-0.04,-0.03,-0.02,Fuck You!
326,2480,2249,2389,2462,10.2,0.11,0.49,0.49,0.11,10.2,-0.02,-0.03,-0.03,Fuck You!
327,2445,2250,2389,2495,10.17,0.11,0.47,0.47,0.11,10.17,0.01,-0.03,-0.07,Fuck You!
328,2450,2250,2418,2448,10.15,0.29,0.65,0.65,0.29,10.15,-0.04,-0.05,-0.02,Fuck You!
329,2481,2244,2398,2458,10.16,0.23,0.72,0.72,0.23,10.16,-0.03,-0.04,-0.03,Fuck You!
330,2465,2236,2402,2527,10.2,0.29,0.6,0.6,0.29,10.2,-0.03,-0.04,-0.03,Fuck You!
331,2512,2246,2412,2478,10.16,0.36,0.61,0.61,0.36,10.16,-0.04,-0.05,-0.01,Fuck You!
332,2480,2241,2395,2485,10.19,0.32,0.57,0.57,0.32,10.19,-0.04,-0.04,-0.01,Fuck You!
333,2501,2271,2411,2496,10.16,0.48,0.84,0.84,0.48,10.16,-0.02,-0.03,-0.03,Fuck You!
334,2465,2224,2403,2585,10.15,0.46,0.77,0.77,0.46,10.15,-0.03,-0.03,-0.03,Fuck You!
335,2465,2231,2383,2500,10.13,0.55,0.7,0.7,0.55,10.13,-0.04,-0.05,-0.01,Fuck You!
336,2483,2242,2399,2475,10.13,0.4,0.68,0.68,0.4,10.13,-0.06,-0.07,0.02,Fuck You!
337,2510,2230,2401,2448,10.17,0.26,0.54,0.54,0.26,10.17,-0.03,-0.07,-0.02,Fuck You!
338,2479,2238,2401,2491,10.15,0.12,0.71,0.71,0.12,10.15,-0.12,-0.05,0,Fuck You!
339,2474,2262,2383,2527,10.12,0.04,0.59,0.59,0.04,10.12,-0.03,-0.04,-0.03,Fuck You!
340,2461,2271,2421,2502,10.15,0.45,0.59,0.59,0.45,10.15,-0.08,-0.04,0,Fuck You!
341,2484,2251,2384,2480,10.11,0.13,0.61,0.61,0.13,10.11,-0.02,-0.04,-0.04,Fuck You!
342,2538,2271,2368,2511,10.1,0.2,0.7,0.7,0.2,10.1,-0.04,-0.05,-0.02,Fuck You!
343,2539,2240,2406,2483,10.14,0.16,0.66,0.66,0.16,10.14,-0.03,-0.04,-0.02,Fuck You!
344,2475,2256,2394,2466,10.18,0.15,0.64,0.64,0.15,10.18,-0.03,-0.03,-0.03,Fuck You!
345,2496,2269,2403,2450,10.16,0.23,0.72,0.72,0.23,10.16,-0.03,-0.04,-0.03,Fuck You!
346,2479,2240,2375,2494,10.18,0.22,0.62,0.62,0.22,10.18,-0.03,-0.04,-0.02,Fuck You!
347,2502,2242,2390,2461,10.13,0.22,0.79,0.79,0.22,10.13,-0.02,-0.04,-0.03,Fuck You!
348,2459,2252,2390,2496,10.18,0.34,0.68,0.68,0.34,10.18,-0.05,-0.04,0,Fuck You!
349,2451,2247,2394,2480,10.14,0.23,0.77,0.77,0.23,10.14,-0.02,-0.06,-0.03,Fuck You!
350,2470,2246,2399,2464,10.1,0.26,0.72,0.72,0.26,10.1,-0.05,-0.04,-0.01,Fuck You!
351,2442,2209,2390,2475,10.17,0.18,0.71,0.71,0.18,10.17,-0.03,-0.04,-0.02,Fuck You!
352,2426,2255,2367,2469,10.11,0.12,0.78,0.78,0.12,10.11,-0.03,-0.04,-0.04,Fuck You!
353,2478,2233,2387,2494,10.14,0.21,0.6,0.6,0.21,10.14,-0.03,-0.05,-0.02,Fuck You!
354,2467,2230,2405,2473,10.17,0.27,0.6,0.6,0.27,10.17,-0.03,-0.04,-0.02,Fuck You!
355,2458,2251,2398,2494,10.12,0.26,0.67,0.67,0.26,10.12,-0.03,-0.05,-0.01,Fuck You!
356,2480,2240,2397,2427,10.17,0.27,0.71,0.71,0.27,10.17,-0.03,-0.05,-0.02,Fuck You!
